postcode,locality,state,sa3name,sa4name
5253,BRINKLEY,SA,Murray and Mallee,South Australia - South East
5253,BURDETT,SA,Murray and Mallee,South Australia - South East
5253,CHAPMAN BORE,SA,Murray and Mallee,South Australia - South East
5253,ETTRICK,SA,Murray and Mallee,South Australia - South East
5253,GIFFORD HILL,SA,Murray and Mallee,South Australia - South East
5253,GREENBANKS,SA,Murray and Mallee,South Australia - South East
5253,LONG FLAT,SA,Murray and Mallee,South Australia - South East
5253,MOBILONG,SA,Murray and Mallee,South Australia - South East
5253,MONTEITH,SA,Murray and Mallee,South Australia - South East
5253,MURRAWONG,SA,Murray and Mallee,South Australia - South East
5253,MURRAY BRIDGE,SA,Murray and Mallee,South Australia - South East
5253,MURRAY BRIDGE EAST,SA,Murray and Mallee,South Australia - South East
5253,MURRAY BRIDGE NORTH,SA,Murray and Mallee,South Australia - South East
5253,MURRAY BRIDGE SOUTH,SA,Murray and Mallee,South Australia - South East
5253,NORTHERN HEIGHTS,SA,Murray and Mallee,South Australia - South East
5253,RIVERGLADES,SA,Murray and Mallee,South Australia - South East
5253,RIVERGLEN,SA,Murray and Mallee,South Australia - South East
5253,ROCKY GULLY,SA,Murray and Mallee,South Australia - South East
5253,SUNNYSIDE,SA,Murray and Mallee,South Australia - South East
5253,SWANPORT,SA,Murray and Mallee,South Australia - South East
5253,TOORA,SA,Murray and Mallee,South Australia - South East
5253,WHITE HILL,SA,Murray and Mallee,South Australia - South East
5253,WHITE SANDS,SA,Murray and Mallee,South Australia - South East
5253,WILLOW BANKS,SA,Murray and Mallee,South Australia - South East
5253,WOODS POINT,SA,Murray and Mallee,South Australia - South East
5254,BUCCLEUCH,SA,Murray and Mallee,South Australia - South East
5254,CALLINGTON,SA,Murray and Mallee,South Australia - South East
5254,CALOOTE,SA,Murray and Mallee,South Australia - South East
5254,MONARTO,SA,Murray and Mallee,South Australia - South East
5254,MONARTO SOUTH,SA,Murray and Mallee,South Australia - South East
5254,MONTEITH,SA,Murray and Mallee,South Australia - South East
5254,MURRAY BRIDGE,SA,Murray and Mallee,South Australia - South East
5254,MYPOLONGA,SA,Murray and Mallee,South Australia - South East
5254,PALLAMANA,SA,Murray and Mallee,South Australia - South East
5254,PETWOOD,SA,Murray and Mallee,South Australia - South East
5254,ROCKLEIGH,SA,Murray and Mallee,South Australia - South East
5254,ROCKY GULLY,SA,Murray and Mallee,South Australia - South East
5254,TEPKO,SA,Murray and Mallee,South Australia - South East
5254,THE POINT,SA,Murray and Mallee,South Australia - South East
5254,WALL FLAT,SA,Murray and Mallee,South Australia - South East
5254,WHITE HILL,SA,Murray and Mallee,South Australia - South East
5254,WOODLANE,SA,Murray and Mallee,South Australia - South East
5254,ZADOWS LANDING,SA,Murray and Mallee,South Australia - South East
5255,ANGAS PLAINS,SA,Murray and Mallee,South Australia - South East
5255,BELVIDERE,SA,Murray and Mallee,South Australia - South East
5255,BLETCHLEY,SA,Murray and Mallee,South Australia - South East
5255,FINNISS,SA,Murray and Mallee,South Australia - South East
5255,GEMMELLS,SA,Murray and Mallee,South Australia - South East
5255,HARTLEY,SA,Murray and Mallee,South Australia - South East
5255,HIGHLAND VALLEY,SA,Murray and Mallee,South Australia - South East
5255,LAKE PLAINS,SA,Murray and Mallee,South Australia - South East
5255,LANGHORNE CREEK,SA,Murray and Mallee,South Australia - South East
5255,MOUNT OBSERVATION,SA,Murray and Mallee,South Australia - South East
5255,MULGUNDAWA,SA,Murray and Mallee,South Australia - South East
5255,NALPA,SA,Murray and Mallee,South Australia - South East
5255,RED CREEK,SA,Murray and Mallee,South Australia - South East
5255,SALEM,SA,Murray and Mallee,South Australia - South East
5255,SANDERGROVE,SA,Murray and Mallee,South Australia - South East
5255,STRATHALBYN,SA,Murray and Mallee,South Australia - South East
5255,TOOPERANG,SA,Murray and Mallee,South Australia - South East
5255,WILLYAROO,SA,Murray and Mallee,South Australia - South East
5255,WOODCHESTER,SA,Murray and Mallee,South Australia - South East
5256,CLAYTON,SA,Murray and Mallee,South Australia - South East
5256,CLAYTON BAY,SA,Murray and Mallee,South Australia - South East
5256,MILANG,SA,Murray and Mallee,South Australia - South East
5256,NURRAGI,SA,Murray and Mallee,South Australia - South East
5256,POINT STURT,SA,Murray and Mallee,South Australia - South East
5256,TOLDEROL,SA,Murray and Mallee,South Australia - South East
5259,ASHVILLE,SA,Murray and Mallee,South Australia - South East
5259,EAST WELLINGTON,SA,Murray and Mallee,South Australia - South East
5259,JERVOIS,SA,Murray and Mallee,South Australia - South East
5259,KEPA,SA,Murray and Mallee,South Australia - South East
5259,LAKE ALBERT,SA,Murray and Mallee,South Australia - South East
5259,LAKE ALEXANDRINA,SA,Murray and Mallee,South Australia - South East
5259,MALINONG,SA,Murray and Mallee,South Australia - South East
5259,NARRUNG,SA,Murray and Mallee,South Australia - South East
5259,NATURI,SA,Murray and Mallee,South Australia - South East
5259,POINT MCLEAY,SA,Murray and Mallee,South Australia - South East
5259,POLTALLOCH,SA,Murray and Mallee,South Australia - South East
5259,RAUKKAN,SA,Murray and Mallee,South Australia - South East
5259,TAILEM BEND,SA,Murray and Mallee,South Australia - South East
5259,WELLINGTON,SA,Murray and Mallee,South Australia - South East
5259,WELLINGTON EAST,SA,Murray and Mallee,South Australia - South East
5260,BAYAH,SA,Murray and Mallee,South Australia - South East
5260,ELWOMPLE,SA,Murray and Mallee,South Australia - South East
5260,TAILEM BEND,SA,Murray and Mallee,South Australia - South East
5261,COOKE PLAINS,SA,Murray and Mallee,South Australia - South East
5261,COOMANDOOK,SA,Murray and Mallee,South Australia - South East
5261,CULBURRA,SA,Murray and Mallee,South Australia - South East
5261,KI KI,SA,Murray and Mallee,South Australia - South East
5261,YUMALI,SA,Murray and Mallee,South Australia - South East
5262,BINNUM,SA,Limestone Coast,South Australia - South East
5262,FRANCES,SA,Limestone Coast,South Australia - South East
5262,HYNAM,SA,Limestone Coast,South Australia - South East
5262,KYBYBOLITE,SA,Limestone Coast,South Australia - South East
5263,COONAWARRA,SA,Limestone Coast,South Australia - South East
5264,COORONG,SA,Murray and Mallee,South Australia - South East
5264,MENINGIE,SA,Murray and Mallee,South Australia - South East
5264,MENINGIE EAST,SA,Murray and Mallee,South Australia - South East
5264,MENINGIE WEST,SA,Murray and Mallee,South Australia - South East
5264,POLICEMAN POINT,SA,Murray and Mallee,South Australia - South East
5264,SALT CREEK,SA,Murray and Mallee,South Australia - South East
5264,WALTOWA,SA,Murray and Mallee,South Australia - South East
5265,COONALPYN,SA,Murray and Mallee,South Australia - South East
5265,FIELD,SA,Murray and Mallee,South Australia - South East
5266,BUNBURY,SA,Murray and Mallee,South Australia - South East
5266,COLEBATCH,SA,Murray and Mallee,South Australia - South East
5266,DEEPWATER,SA,Murray and Mallee,South Australia - South East
5266,TINTINARA,SA,Murray and Mallee,South Australia - South East
5267,BRIMBAGO,SA,Murray and Mallee,South Australia - South East
5267,COOMBE,SA,Murray and Mallee,South Australia - South East
5267,KEITH,SA,Murray and Mallee,South Australia - South East
5267,LAFFER,SA,Murray and Mallee,South Australia - South East
5267,MAKIN,SA,Murray and Mallee,South Australia - South East
5267,MCCALLUM,SA,Murray and Mallee,South Australia - South East
5267,MOUNT CHARLES,SA,Murray and Mallee,South Australia - South East
5267,PETHERICK,SA,Murray and Mallee,South Australia - South East
5267,SHAUGH,SA,Murray and Mallee,South Australia - South East
5267,SHERWOOD,SA,Murray and Mallee,South Australia - South East
5267,WILLALOOKA,SA,Murray and Mallee,South Australia - South East
5267,WIRREGA,SA,Murray and Mallee,South Australia - South East
5268,BANGHAM,SA,Limestone Coast,South Australia - South East
5268,BORDERTOWN,SA,Limestone Coast,South Australia - South East
5268,BORDERTOWN SOUTH,SA,Limestone Coast,South Australia - South East
5268,CANGARA,SA,Limestone Coast,South Australia - South East
5268,CANNAWIGARA,SA,Limestone Coast,South Australia - South East
5268,LOWAN VALE,SA,Limestone Coast,South Australia - South East
5268,POOGINAGORIC,SA,Limestone Coast,South Australia - South East
5268,SENIOR,SA,Limestone Coast,South Australia - South East
5268,WESTERN FLAT,SA,Limestone Coast,South Australia - South East
5269,CUSTON,SA,Limestone Coast,South Australia - South East
5269,CUSTON,SA,Limestone Coast,South Australia - South East
5269,PINE HILL,SA,Limestone Coast,South Australia - South East
5269,WOLSELEY,SA,Limestone Coast,South Australia - South East
5270,BUCKINGHAM,SA,Limestone Coast,South Australia - South East
5270,CAREW,SA,Limestone Coast,South Australia - South East
5270,KONGAL,SA,Limestone Coast,South Australia - South East
5270,MUNDULLA,SA,Limestone Coast,South Australia - South East
5270,MUNDULLA WEST,SA,Limestone Coast,South Australia - South East
5270,SWEDE FLAT,SA,Limestone Coast,South Australia - South East
5271,BOOL LAGOON,SA,Limestone Coast,South Australia - South East
5271,CADGEE,SA,Limestone Coast,South Australia - South East
5271,JOANNA,SA,Limestone Coast,South Australia - South East
5271,KEPPOCH,SA,Limestone Coast,South Australia - South East
5271,KOPPAMURRA,SA,Limestone Coast,South Australia - South East
5271,LAURIE PARK,SA,Limestone Coast,South Australia - South East
5271,LOCHABER,SA,Limestone Coast,South Australia - South East
5271,MARCOLLAT,SA,Limestone Coast,South Australia - South East
5271,MOUNT LIGHT,SA,Limestone Coast,South Australia - South East
5271,MOYHALL,SA,Limestone Coast,South Australia - South East
5271,NARACOORTE,SA,Limestone Coast,South Australia - South East
5271,PADTHAWAY,SA,Limestone Coast,South Australia - South East
5271,SPENCE,SA,Limestone Coast,South Australia - South East
5271,STEWART RANGE,SA,Limestone Coast,South Australia - South East
5271,STRUAN,SA,Limestone Coast,South Australia - South East
5271,THE GAP,SA,Limestone Coast,South Australia - South East
5271,WILD DOG VALLEY,SA,Limestone Coast,South Australia - South East
5271,WRATTONBULLY,SA,Limestone Coast,South Australia - South East
5272,COLES,SA,Limestone Coast,South Australia - South East
5272,CONMURRA,SA,Limestone Coast,South Australia - South East
5272,FOX,SA,Limestone Coast,South Australia - South East
5272,GREENWAYS,SA,Limestone Coast,South Australia - South East
5272,LUCINDALE,SA,Limestone Coast,South Australia - South East
5272,WOOLUMBOOL,SA,Limestone Coast,South Australia - South East
5273,AVENUE RANGE,SA,Limestone Coast,South Australia - South East
5275,BLACKFORD,SA,Limestone Coast,South Australia - South East
5275,BOATSWAIN POINT,SA,Limestone Coast,South Australia - South East
5275,CAPE JAFFA,SA,Limestone Coast,South Australia - South East
5275,KEILIRA,SA,Limestone Coast,South Australia - South East
5275,KINGSTON SE,SA,Limestone Coast,South Australia - South East
5275,MOUNT BENSON,SA,Limestone Coast,South Australia - South East
5275,PINKS BEACH,SA,Limestone Coast,South Australia - South East
5275,REEDY CREEK,SA,Limestone Coast,South Australia - South East
5275,ROSETOWN,SA,Limestone Coast,South Australia - South East
5275,SANDY GROVE,SA,Limestone Coast,South Australia - South East
5275,TARATAP,SA,Limestone Coast,South Australia - South East
5275,TILLEY SWAMP,SA,Limestone Coast,South Australia - South East
5275,WANGOLINA,SA,Limestone Coast,South Australia - South East
5275,WEST RANGE,SA,Limestone Coast,South Australia - South East
5275,WYOMI,SA,Limestone Coast,South Australia - South East
5276,BRAY,SA,Limestone Coast,South Australia - South East
5276,NORA CREINA,SA,Limestone Coast,South Australia - South East
5276,ROBE,SA,Limestone Coast,South Australia - South East
5277,COMAUM,SA,Limestone Coast,South Australia - South East
5277,GLENROY,SA,Limestone Coast,South Australia - South East
5277,MAAOUPE,SA,Limestone Coast,South Australia - South East
5277,MONBULLA,SA,Limestone Coast,South Australia - South East
5277,NANGWARRY,SA,Limestone Coast,South Australia - South East
